id,mode,status,score,classification,warnings
couple-wide-v,couple,ok,77.9,similar,
couple-selfie-v,couple,ok,82.64,high_similarity,
couple-landmark-v,couple,ok,74.53,similar,
solo-wide-v,solo,ok,67.18,similar,
solo-selfie-v,solo,ok,75.49,similar,
