id,mode,status,score,classification,warnings
couple-wide-v,couple,ok,85.58,high_similarity,
couple-selfie-v,couple,ok,85.04,high_similarity,Person 1: fewer than four shared pose keypoints.
couple-landmark-v,couple,ok,88.1,high_similarity,
solo-wide-v,solo,ok,88.65,high_similarity,
solo-selfie-v,solo,ok,85.28,high_similarity,
